#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
12.859555,2,2,452,1278
16.682956,3,2,453,1627
36.749588,4,2,499,2086
37.526949,5,2,552,2573
56.980585,6,2,807,3779
75.367379,7,2,845,4353
82.404765,8,2,894,4846
68.741259,9,2,973,5679
95.747282,9,2,1048,6487
83.980478,10,2,1059,7101
79.398800,11,2,1093,7742
107.512395,12,2,1118,8348
129.725231,13,2,1127,8873
132.897251,14,2,1174,9590
121.665205,15,2,1194,10063
135.933421,16,2,1294,10947
147.593891,17,2,1268,11398
146.597520,18,2,1289,11883
150.398391,19,2,1314,12332
147.850733,20,2,1326,12533
157.112237,20,2,1361,12325
149.936855,20,2,1431,12378
153.344897,20,2,1474,12652
192.842317,20,2,1445,12575
156.063544,21,2,1442,13067
156.105600,21,2,1443,13028
164.066886,22,2,1465,13534
180.230262,23,2,1510,14235
187.086037,23,2,1501,14112
192.814840,23,2,1527,14108
183.032246,23,2,1492,13942
207.175807,23,2,1495,13766
167.399884,23,2,1464,13615
185.542710,23,2,1464,13605
199.959251,23,2,1506,13611
165.715959,23,2,1469,13589
182.722151,23,2,1481,13658
179.421001,24,2,1491,14362
180.498942,24,2,1490,14323
179.767455,24,2,1494,14276
188.014511,25,2,1552,14932
193.119510,25,3,1564,15433
200.274271,25,3,1599,15517
235.441872,25,4,1570,15844
193.626105,25,4,1560,15655
200.245870,25,4,1586,15712
249.325156,25,3,1585,15287
189.209053,25,3,1582,15064
185.147240,25,3,1612,15279
188.997252,25,3,1563,15181
189.591009,25,3,1602,15410
191.660176,25,3,1606,15472
191.075229,25,3,1595,15525
201.592001,25,4,1599,16008
193.589959,25,4,1567,16014
207.862060,25,5,1618,16672
206.817425,25,6,1621,17158
216.596356,25,6,1596,17272
207.264034,25,6,1648,17366
204.583840,25,5,1634,16983
229.962457,25,5,1641,16962
206.862535,25,5,1672,16809
210.295868,25,5,1719,16744
228.149193,25,5,1682,16911
228.682072,25,6,1603,17259
209.254152,25,7,1584,17752
227.006105,25,8,1584,18163
230.463260,25,9,1617,18673
273.944727,25,10,1607,19374
234.525204,25,10,1610,19394
234.243780,25,10,1623,19652
237.736309,25,10,1601,19692
242.691067,25,10,1575,19418
233.797853,25,9,1614,19054
229.845581,25,9,1595,18937
229.687141,25,9,1601,18816
223.808178,25,10,1568,18916
224.106288,25,10,1603,18899
293.974292,25,10,1632,18898
225.499292,25,10,1590,18962
225.102979,25,10,1586,18998
229.194433,25,11,1518,19223
231.943376,25,12,1549,19890
233.645605,25,12,1565,19981
235.054434,25,12,1555,20124
240.190470,25,11,1534,19639
230.331260,25,11,1599,19492
224.135163,25,11,1630,19130
231.658155,25,12,1744,19600
223.322797,25,12,1871,19612
223.782572,25,12,1950,19522
216.668955,25,12,1996,19188
216.685451,25,13,2064,19525
231.706182,25,14,2118,19799
212.845421,25,15,2152,20012
237.619285,25,15,2187,19580
196.968571,25,14,2186,18662
194.551705,25,13,2266,17967
192.130628,25,13,2325,17785
195.570507,25,14,2370,18152
194.417092,25,15,2379,18426
194.251591,25,15,2405,18435
190.331685,25,15,2418,18190
189.376098,25,15,2456,18059
202.962428,25,15,2468,17965
186.744596,25,15,2459,17624
187.828092,25,16,2452,17971
194.009459,25,17,2462,18365
196.859456,25,18,2505,18749
197.809619,25,18,2523,18509
197.864957,25,19,2536,18742
199.401290,25,20,2567,19017
224.385228,25,21,2646,19450
235.483482,25,22,2679,19813
221.599045,25,23,2672,20054
209.903819,25,24,2631,20210
211.035511,25,25,2696,20619
219.806231,25,26,2757,21198
223.032587,25,27,2801,21661
