#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.167318,0.032177,22.905466,0.000000,0.000000,23.107098
0.391092,0.134184,18.709824,0.000000,0.019184,19.257423
8.307622,0.316836,10.243240,12.859555,0.121007,31.848931
8.213019,0.118488,11.765918,16.682956,0.346443,37.127417
9.443369,0.073387,13.618259,36.749588,0.511054,60.396326
9.298878,0.048656,22.351651,37.526949,0.380062,69.606985
9.971864,0.063445,35.187211,56.980585,0.857290,103.060973
12.731790,0.133980,35.838550,75.367379,1.513813,125.586047
13.215450,0.148126,42.198016,82.404765,1.856383,139.824131
14.559205,0.165410,46.047649,68.741259,134.466160,263.980942
16.119261,0.099286,47.659495,95.747282,3.123227,162.749572
16.703640,0.147249,48.674245,83.980478,3.787857,153.294264
16.699773,0.131341,52.044955,79.398800,4.124463,152.400135
18.303829,0.124381,58.414233,107.512395,4.550246,188.906112
20.215317,0.151262,61.612687,129.725231,4.735807,216.441329
20.563988,0.143478,67.160607,132.897251,5.863119,226.629561
21.483746,0.173200,68.044036,121.665205,6.403337,217.771685
22.612567,0.115872,76.244702,135.933421,7.765475,242.673657
22.833297,0.168946,76.700919,147.593891,8.244349,255.542803
21.853314,0.117213,79.432762,146.597520,9.099815,257.101640
21.213671,0.112733,79.164014,150.398391,10.260369,724.339943
19.559327,0.138957,74.109227,147.850733,13.655339,255.315034
17.531042,0.097444,74.592123,157.112237,13.406282,262.740139
19.226727,0.091386,82.454497,149.936855,13.329389,265.040103
23.401181,0.122812,91.561592,153.344897,12.401588,280.833070
25.525725,0.188236,93.126342,192.842317,10.288458,321.972019
25.566615,0.131861,92.379202,156.063544,14.751341,288.893569
24.432876,0.153556,91.268618,156.105600,11.259097,283.221001
25.099174,0.122100,95.747263,164.066886,11.936091,296.972651
26.654431,0.144133,102.124901,180.230262,17.509907,326.664854
25.394722,0.134204,97.102209,187.086037,18.564629,328.283091
26.905088,0.160369,98.772548,192.814840,19.314023,337.968009
25.633826,0.171299,99.684773,183.032246,20.557554,329.081212
22.397669,0.111921,91.915825,207.175807,23.277494,344.880477
23.147646,0.117344,94.019582,167.399884,24.386622,309.072661
24.021617,0.100506,96.383506,185.542710,26.897882,332.947361
23.450539,0.097409,95.350700,199.959251,25.802474,344.661469
24.950003,0.149896,93.109836,165.715959,28.782178,312.709407
26.245874,0.101076,99.019362,182.722151,12.063608,320.153084
28.815536,0.144235,105.642941,179.421001,19.168906,333.193748
28.266999,0.127346,105.625154,180.498942,21.418869,335.938870
25.927117,0.137730,99.269925,179.767455,14.324792,319.428085
24.883498,0.140931,99.276020,188.014511,14.536027,326.851943
25.233631,0.162788,100.657223,193.119510,23.860597,343.035151
27.436648,0.123464,108.479026,200.274271,16.241123,352.555885
27.341065,0.156096,107.840134,235.441872,25.601718,396.381910
26.910249,0.129833,100.226951,193.626105,21.670058,342.564637
28.529092,0.098095,117.786944,200.245870,35.475336,382.136286
28.964788,0.117392,114.682013,249.325156,23.275757,785.180935
22.809540,0.138041,96.395351,189.209053,24.118226,332.671428
29.016724,0.110006,112.957909,185.147240,26.184051,353.417418
28.817873,0.165370,104.571816,188.997252,27.324219,349.877718
28.066232,0.129133,107.574748,189.591009,28.507294,353.869939
26.390311,0.137521,101.550695,191.660176,30.728722,350.468726
27.931942,0.132878,102.994546,191.075229,16.592056,338.728810
26.934171,0.159663,98.896866,201.592001,21.339673,348.923376
29.236607,0.142296,101.062426,193.589959,16.925217,340.957602
29.094479,0.114970,106.634804,207.862060,19.174469,362.882092
24.100695,0.144265,99.445667,206.817425,24.140512,354.650131
35.382743,0.143244,116.699200,216.596356,25.043293,393.866014
26.325341,0.138695,108.418628,207.264034,39.155087,381.302742
30.037984,0.161916,113.601229,204.583840,27.404929,375.790769
32.895458,0.193148,113.858915,229.962457,29.457405,406.368718
22.618871,0.146722,98.481186,206.862535,32.237478,360.348515
18.779980,0.137417,97.118661,210.295868,33.168268,359.502258
30.943814,0.145412,110.919568,228.149193,18.076175,388.235801
31.657682,0.197194,115.235425,228.682072,20.111545,395.885144
31.804581,0.189111,111.421271,209.254152,21.522603,374.192987
31.284940,0.107270,121.171158,227.006105,30.292211,409.863154
34.433445,0.101619,128.806724,230.463260,25.041981,418.848175
39.253557,0.142662,135.885688,273.944727,37.728578,486.956556
35.138566,0.162460,130.112230,234.525204,31.908842,431.848210
35.415089,0.153790,133.236589,234.243780,39.911470,442.962637
41.304183,0.187648,132.787010,237.736309,40.790095,452.806579
32.500553,0.153847,112.897704,242.691067,52.591894,481.477338
33.025797,0.119957,119.261355,233.797853,40.220349,426.426194
43.716551,0.162329,134.880525,229.845581,40.500857,449.106734
33.453353,0.163075,110.251207,229.687141,23.108916,396.664889
21.481253,0.149586,88.561911,223.808178,30.304221,364.306479
22.719204,0.097786,94.748495,224.106288,29.218762,370.891532
30.081627,0.117601,107.740526,293.974292,32.033162,463.948470
37.902209,0.157571,124.858224,225.499292,36.213498,424.631862
37.363285,0.127706,119.591790,225.102979,24.819840,407.007122
38.713576,0.148143,126.619322,229.194433,25.807567,420.484640
39.955531,0.119401,122.977141,231.943376,32.576583,427.573049
41.161615,0.158528,119.628162,233.645605,34.961437,429.556591
44.488587,0.183256,117.171569,235.054434,51.589746,448.488409
31.503460,0.215850,108.703724,240.190470,41.542357,422.157078
24.914015,0.110108,96.529832,230.331260,42.853727,394.740350
15.961966,0.116384,81.620845,224.135163,25.624446,347.459773
12.758817,0.097719,76.963791,231.658155,29.765495,351.244865
10.099065,0.132879,74.018282,223.322797,29.785103,337.359238
8.849313,0.125252,64.167445,223.782572,30.820148,327.745686
9.103902,0.147951,59.339567,216.668955,11.190025,296.451801
8.623298,0.134539,57.297086,216.685451,9.971280,292.713298
7.654599,0.123673,53.622018,231.706182,6.024702,299.132238
7.023219,0.121281,50.113661,212.845421,16.925791,287.030311
6.721169,0.117810,55.266038,237.619285,44.475760,344.201659
8.542851,0.091757,64.385669,196.968571,32.452846,302.442722
9.697387,0.096460,73.742995,194.551705,27.051432,305.141146
9.865179,0.107297,70.322303,192.130628,16.015268,288.441843
10.620495,0.119120,75.285077,195.570507,15.390999,340.926736
12.317858,0.132430,80.666589,194.417092,22.053829,309.588921
14.266024,0.525012,87.507046,194.251591,24.205630,320.758076
16.358680,0.127352,90.325267,190.331685,25.779349,322.923628
19.077724,0.109198,93.612359,189.376098,28.863763,331.489168
21.371025,0.125484,99.264804,202.962428,28.446626,352.171994
20.663857,0.126497,91.329980,186.744596,14.280672,313.147020
20.567772,0.147151,90.399033,187.828092,17.396195,316.340454
18.637158,0.126696,87.034973,194.009459,16.897695,316.707712
16.846655,0.108090,90.828799,196.859456,21.828434,326.472990
15.431952,0.146927,88.489798,197.809619,14.609176,316.488729
13.947773,0.174305,87.758829,197.864957,15.480695,315.227705
13.671610,0.174208,89.948563,199.401290,14.153039,317.349945
12.645183,0.172929,88.576101,224.385228,13.154558,338.935007
12.015557,0.206029,87.037497,235.483482,11.781004,346.524723
10.827980,0.238105,77.829457,221.599045,11.025039,321.521716
10.355515,0.205431,69.032821,209.903819,16.748344,306.247034
11.048417,0.137252,81.532773,211.035511,18.925869,322.680750
14.592105,0.138800,97.888139,219.806231,20.591150,353.018126
14.650501,0.159290,95.414918,223.032587,32.039311,365.297944
15.807239,0.188266,98.432276,224.571382,19.772511,358.773344
18.163888,0.177559,104.119205,267.854135,20.830357,411.147019
19.342880,0.197146,107.661235,234.008579,21.215098,382.426243
24.664584,0.135228,115.282179,253.482738,21.710017,415.275963
25.486618,0.160635,114.245743,253.295983,25.047188,418.237668
23.529618,0.162747,106.206663,261.215197,25.039496,416.155251
22.404147,0.138290,111.549101,265.841926,25.317221,494.746266
21.424028,0.165019,117.966307,260.621404,31.723518,431.903431
20.341829,0.174146,110.168220,268.259414,22.979229,421.925622
18.578638,0.187120,107.005430,273.715645,23.538944,423.027128
16.632923,0.195013,99.233350,281.455341,21.576312,419.094107
14.778846,0.210146,88.086106,292.963918,17.813862,413.854352
12.246574,0.216950,81.185013,265.304625,21.835945,380.790290
13.203572,0.142034,79.573792,264.718487,27.917183,385.556115
15.282533,0.142208,90.101412,265.168993,28.695299,399.391862
23.186765,0.139605,121.916257,272.363772,31.296305,448.904533
21.706590,0.139131,120.611649,278.415004,30.832228,451.706174
17.914717,0.149702,101.218525,280.685440,28.523237,428.492686
18.203391,0.147432,108.919706,281.793067,32.760947,441.826013
21.821986,0.151215,123.393743,286.214514,37.006983,468.590030
25.613523,0.188085,118.611997,285.090860,35.085553,464.591565
27.751477,0.163779,114.432232,292.336725,39.789554,474.476226
