# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
2,781,0.198193,3.217985,3.007464
2,781,0.143070,3.295484,4.689432
2,781,0.240553,3.111481,3.722201
2,781,0.181312,2.838604,3.698325
2,781,0.188304,3.072210,3.899578
3,409,0.137663,1.240482,3.880734
3,409,0.147269,0.812520,3.909313
3,409,0.164323,1.030307,4.006789
3,409,0.168098,1.040147,3.721817
3,409,0.131954,1.134254,3.905011
4,443,0.124685,1.618339,3.817608
4,443,0.162914,1.481926,3.163528
4,443,0.137998,1.311750,2.929634
4,443,0.179413,1.344463,3.365586
4,443,0.152820,1.271641,2.589544
5,499,0.191026,2.034560,3.225081
5,480,0.184696,1.680323,2.996993
5,480,0.224059,1.542479,3.079903
5,480,0.164966,1.739825,3.747076
5,480,0.286138,1.892923,2.836481
6,552,0.168216,2.340483,3.157992
6,533,0.176239,2.585842,3.073070
6,533,0.175421,3.462746,3.212358
6,533,0.178350,3.436387,3.193921
6,533,0.194147,3.659172,3.297918
7,807,0.188637,7.356880,4.713365
7,787,0.194999,5.955397,5.618108
7,787,0.260007,5.752642,5.247582
7,787,0.314049,7.065040,4.369505
7,787,0.301412,7.057463,3.763778
8,845,0.333950,8.002697,5.444644
8,845,0.428496,7.210439,4.736411
8,810,0.323757,6.400361,3.863277
8,810,0.305139,6.479238,5.229584
8,810,0.321003,6.927007,3.973677
8,810,0.363866,6.680675,4.936545
9,907,0.331008,7.890490,6.338656
9,894,0.585759,7.538024,6.887008
9,871,0.385028,6.230217,5.540518
9,871,0.456659,5.995007,5.801423
9,871,0.378966,6.391905,5.204050
10,993,0.425655,7.697226,6.535147
10,973,0.466818,7.780398,5.811604
10,947,0.515426,3.290173,9.574772
11,931,0.516976,3.249040,9.402579
11,1048,0.491225,3.915506,10.024107
11,1048,0.524450,3.521503,9.373101
11,1019,0.551711,3.356161,8.546053
12,1135,0.492141,3.542779,10.318073
12,1059,0.692981,3.602491,9.932625
12,1042,0.530824,3.189293,8.602556
13,1165,0.522696,3.446760,10.031750
13,1093,0.668647,3.584897,9.935476
13,1088,0.492344,3.330658,8.970721
14,1258,0.664997,3.642957,11.808494
14,1118,0.742571,3.796022,10.247617
14,1118,0.661707,3.900826,10.605208
14,1105,0.682129,3.481281,10.388039
15,1267,0.716871,4.527253,11.492800
15,1127,0.737192,4.160456,10.789724
15,1127,0.871850,3.780926,10.944028
15,1118,0.808977,4.146573,9.725031
16,1292,0.840167,4.209724,11.796614
16,1174,0.840717,3.866518,10.498705
